PUMFID	SRYR	REGION6	SEX	AGECAT	EDUC	TYPES	WORKNOW	PARENT	LNDIMM_G	LSTWRK	TENURE_G	NAICS6	NOC6	UNIONCA	HRLYEARN	FTPT	WRKTYP	EIDEDUC	RNDEDUC	WEEKSCAT	FTPT_RY	CLAIM	BENEFIT	BENTYP	BENWEEKS	RNBEN	RNBENRW	HOURS	INSEMP	COVERAGE	ELIGIBLE	MATPAR	WHYSPNCL	PATCLAIM	SPPARCL	SPCLAIM	BENPLAN	ADDPAYM	APWEEKS	AF_05	AF_25	JS_05	LOOKHRS	LOOKCOST	LOOKOUT	CARE_G	CARETYPE	SAMEMP	WRKAFTER	EMPAGREE	CHLDCARE	WORKCOND	ALLEAVE	LEAVECAT	CI_10A	CHGINC	STUDENT	EFAMEM_R	EFAMSZ_R	EFAMILY	LEFTLOST	RSWK	WTPM	VERDATE
1053	2023	"06"	2	"3"	"2"	3	"6"	0	2	"2"	"96"	"06"	"03"	"6"	9999.96	"6"	"06"	9	"6"	"00"	"6"	"2"	"4"	"6"	96	"13"	"13"	9996	"6"	"10"	"3"	"6"	96	"96"	"6"	"6"	"6"	"6"	"6"	1	5	2	999.6	9996	"6"	"6"	"96"	"6"	"6"	"6"	"6"	"6"	96	"6"	6	"99"	3	"0"	"2"	"04"	6	"96"	896.526	"29/08/2024"
1054	2023	"06"	2	"2"	"5"	3	"1"	1	2	"3"	"07"	"05"	"04"	"1"	57.32	"1"	"01"	1	"6"	"05"	"1"	"1"	"3"	"6"	50	"96"	"96"	2080	"1"	"11"	"3"	"1"	5	"06"	"2"	"2"	"3"	"1"	"3"	1	2	6	999.6	9996	"6"	"6"	"04"	"1"	"1"	"1"	"1"	"1"	21	"4"	1	"02"	3	"2"	"3"	"02"	3	"04"	796.8127	"29/08/2024"
1055	2023	"06"	1	"1"	"3"	3	"6"	0	2	"2"	"96"	"04"	"06"	"6"	9999.96	"6"	"99"	2	"2"	"05"	"3"	"1"	"4"	"6"	96	"04"	"04"	9996	"6"	"10"	"3"	"6"	96	"96"	"6"	"6"	"6"	"6"	"6"	2	96	2	999.6	9996	"6"	"6"	"96"	"6"	"6"	"6"	"6"	"6"	96	"6"	6	"99"	1	"1"	"2"	"06"	6	"96"	3271.2338	"29/08/2024"
1056	2023	"06"	1	"2"	"4"	2	"6"	0	2	"0"	"08"	"06"	"05"	"1"	35.36	"2"	"02"	1	"6"	"05"	"1"	"2"	"4"	"6"	96	"07"	"07"	9996	"6"	"96"	"6"	"6"	96	"96"	"6"	"6"	"6"	"6"	"6"	1	1	6	999.6	9996	"6"	"6"	"96"	"6"	"6"	"6"	"6"	"6"	96	"6"	6	"99"	3	"2"	"2"	"02"	6	"96"	1004.6671	"29/08/2024"
1057	2023	"03"	2	"1"	"2"	2	"6"	0	2	"0"	"05"	"05"	"04"	"2"	15.07	"2"	"05"	1	"6"	"04"	"2"	"2"	"4"	"6"	96	"08"	"08"	9996	"6"	"96"	"6"	"6"	96	"96"	"6"	"6"	"6"	"6"	"6"	2	96	6	999.6	9996	"6"	"6"	"96"	"6"	"6"	"6"	"6"	"6"	96	"6"	6	"99"	1	"2"	"4"	"06"	6	"96"	3803.1744	"29/08/2024"
1058	2023	"02"	1	"3"	"4"	3	"6"	0	2	"1"	"06"	"04"	"02"	"2"	35.06	"1"	"01"	1	"6"	"05"	"1"	"2"	"4"	"6"	96	"13"	"13"	1664	"6"	"05"	"1"	"6"	96	"96"	"6"	"6"	"6"	"6"	"6"	1	5	2	999.6	9996	"6"	"6"	"96"	"6"	"6"	"6"	"6"	"6"	96	"6"	6	"99"	3	"1"	"2"	"03"	2	"11"	197.9811	"29/08/2024"
1059	2023	"01"	2	"2"	"5"	4	"1"	0	2	"0"	"02"	"05"	"02"	"2"	30.49	"1"	"05"	1	"6"	"01"	"1"	"1"	"1"	"1"	96	"96"	"96"	9996	"6"	"96"	"6"	"6"	96	"96"	"6"	"6"	"6"	"6"	"6"	1	1	2	999.6	9996	"6"	"6"	"96"	"6"	"6"	"6"	"6"	"6"	96	"6"	6	"99"	3	"2"	"2"	"02"	6	"96"	221.9259	"29/08/2024"
1060	2023	"01"	1	"3"	"1"	1	"6"	0	2	"2"	"04"	"04"	"06"	"9"	14.52	"2"	"05"	1	"6"	"01"	"3"	"2"	"4"	"6"	96	"05"	"05"	860	"6"	"03"	"1"	"6"	96	"96"	"6"	"6"	"6"	"6"	"6"	1	15	2	999.6	9996	"6"	"6"	"96"	"6"	"6"	"6"	"6"	"6"	96	"6"	6	"99"	3	"0"	"5"	"04"	2	"07"	391.5087	"29/08/2024"
1061	2023	"01"	1	"3"	"4"	1	"2"	0	2	"1"	"06"	"02"	"05"	"2"	21.19	"1"	"04"	1	"6"	"03"	"1"	"1"	"1"	"1"	96	"96"	"96"	2340	"6"	"01"	"1"	"6"	96	"96"	"6"	"6"	"6"	"6"	"6"	1	1	2	999.6	9996	"6"	"6"	"96"	"6"	"6"	"6"	"6"	"6"	96	"6"	6	"99"	3	"1"	"2"	"03"	2	"07"	314.3784	"29/08/2024"
1062	2023	"03"	2	"2"	"2"	3	"6"	0	2	"2"	"02"	"04"	"06"	"2"	15.3	"2"	"02"	1	"6"	"04"	"3"	"2"	"4"	"6"	96	"05"	"05"	600	"6"	"07"	"2"	"6"	96	"96"	"6"	"6"	"6"	"6"	"6"	1	15	2	999.6	9996	"6"	"6"	"96"	"6"	"6"	"6"	"6"	"6"	96	"6"	6	"99"	3	"0"	"3"	"04"	1	"01"	1568.0323	"29/08/2024"
