LSM_01	SRM_115	SBL_100	VISMINFL	VISMIN_C	ED_05	REP_20	VBR_10	CXRFLAG	CHH001_C	MARSTAT	WGHT_PER	SCF_101	SCF100_C
7	3	3	2	10	5	2	1	1	0	5	4056.4189	6	4
8	2	2	1	7	6	2	1	2	0	6	10	6	3
8	1	2	2	10	6	2	1	1	2	1	10	6	0
5	1	2	1	6	4	2	1	2	0	6	10	6	0
8	3	2	2	10	6	2	1	1	3	1	490.8961	6	6
9	2	2	1	8	7	2	1	1	1	5	10	1	1
7	3	1	2	10	5	2	1	1	1	1	2000.9133	6	8
10	1	1	1	5	6	2	2	2	1	1	18.2793	6	8
7	4	2	2	10	4	2	1	2	0	6	10	6	5
10	1	2	2	10	3	2	2	2	0	1	158.2737	6	0
6	5	5	2	10	6	2	1	2	0	1	1940.9506	6	10
3	3	3	2	10	7	2	1	2	0	2	68.7177	6	10
8	3	3	2	10	6	2	2	1	2	1	524.5977	1	1
8	2	2	2	10	4	2	1	1	2	1	3455.2492	6	3
5	4	3	2	10	7	2	1	2	0	6	10	6	5
6	3	1	2	10	4	2	2	2	0	5	1261.1686	6	2
99	9	9	9	99	7	9	9	1	2	1	18.2548	6	5
8	2	2	2	10	3	2	1	1	0	1	140.2023	6	8
7	3	2	9	99	6	2	1	2	0	2	2615.801	6	2
9	2	1	1	7	1	2	1	2	0	2	10	6	7
99	9	9	9	99	4	2	1	2	0	1	10	1	1
7	1	1	1	5	6	2	1	1	1	1	10	6	12
5	3	2	2	10	4	2	1	2	0	1	850.3825	1	1
8	3	1	2	10	7	2	1	1	0	1	539.7947	6	3
5	3	1	2	10	2	2	1	2	0	3	2032.97	6	2
10	2	1	1	8	1	2	1	2	0	3	10	6	2
7	2	1	2	10	2	2	1	2	0	1	1444.3326	6	4
7	3	2	2	10	6	2	1	1	2	1	1965.0291	6	4
10	2	2	1	6	2	2	1	2	0	4	10	6	5
9	2	2	1	5	7	2	1	1	3	1	10	6	6
3	2	2	2	10	1	2	2	2	0	1	339.5104	6	0
7	3	2	2	10	5	2	1	2	0	1	2178.3987	6	2
7	2	3	1	7	1	2	1	2	0	2	10	6	4
9	2	2	2	10	1	2	1	2	0	6	1762.2244	6	10
7	2	3	2	10	3	2	1	1	2	1	662.2154	6	4
8	3	5	2	10	2	2	2	2	0	6	89.21	6	0
6	4	2	1	5	6	2	1	1	2	1	16.9229	6	2
10	1	1	2	10	6	2	1	2	0	4	184.2543	6	4
10	2	1	1	6	5	2	1	1	0	1	4804.1238	6	7
