PRSPGNDR	PPROV	PVISMIN	PHHSIZE	PHHTTINC	PLIS_05	PGEOGR	PEMPL	PDWS_10I	PEHA_05A	PEHA_05B	PDWLTYPE	PDWS_05	PDWS_10C	PDV_SHCO	PCOS_05	PDCT_05
2	"12"	9	3	75000	6	"03"	1	1	2	2	"01"	3	1	4700	9	1
2	"59"	2	2	92500	6	"26"	1	2	2	1	"06"	2	2	1400	5	2
2	"48"	2	1	60000	1	"22"	2	2	2	1	"01"	1	4	3400	1	1
1	"48"	1	3	190000	7	"22"	1	2	2	2	"02"	2	3	3500	6	1
1	"35"	2	1	97500	7	"16"	1	2	2	2	"01"	3	4	2100	4	1
1	"24"	2	2	99999999999	7	"10"	1	3	2	2	"06"	2	2	9999999.99	99	2
1	"24"	9	99	99999999999	2	"10"	9	1	1	1	"04"	3	4	9999999.99	5	2
1	"35"	9	99	99999999999	6	"16"	9	2	2	2	"99"	3	2	9999999.99	99	2
1	"46"	9	5	80000	9	"18"	1	1	2	2	"01"	3	1	2100	9	1
2	"12"	9	1	48000	9	"04"	2	1	2	2	"01"	3	1	1000	9	1
2	"48"	9	2	99999999999	8	"22"	9	2	2	2	"99"	3	1	9999999.99	8	2
2	"47"	9	4	99999999999	3	"20"	9	4	1	2	"02"	2	1	9999999.99	1	2
1	"10"	9	1	15500	8	"01"	2	2	1	2	"04"	3	3	900	4	2
1	"35"	9	99	99999999999	4	"14"	1	3	2	2	"06"	2	3	9999999.99	8	9
2	"35"	2	3	280000	7	"11"	1	2	2	2	"01"	3	2	2300	4	1
2	"46"	9	1	52500	4	"18"	1	2	1	2	"01"	3	1	800	4	1
1	"35"	1	3	75000	8	"15"	1	2	2	2	"03"	3	2	600	5	1
1	"95"	9	99	195000	4	"28"	1	2	2	2	"99"	2	4	2400	4	2
1	"35"	2	4	160000	7	"11"	1	3	2	2	"03"	3	3	2000	7	1
2	"35"	2	1	260000	7	"16"	1	3	2	2	"01"	3	1	2500	7	1
2	"48"	2	1	45000	1	"24"	2	1	2	2	"06"	3	1	700	1	1
2	"24"	2	2	105000	7	"08"	1	3	2	2	"04"	3	2	2800	6	1
1	"24"	2	1	49000	7	"10"	2	2	2	2	"06"	3	2	700	7	2
1	"59"	2	2	99999999999	6	"27"	1	3	2	2	"01"	2	2	9999999.99	4	1
2	"59"	2	1	18000	4	"27"	2	2	2	2	"06"	3	3	800	4	2
2	"24"	2	2	30000	1	"08"	2	2	1	9	"05"	1	2	300	1	2
2	"59"	2	2	90000	4	"26"	2	2	2	2	"06"	2	4	700	5	1
2	"35"	2	1	23000	8	"16"	2	1	2	9	"06"	3	2	300	8	2
2	"46"	9	1	14000	8	"18"	2	2	2	2	"06"	3	2	800	7	2
1	"47"	9	2	170000	8	"21"	1	2	2	2	"99"	3	1	9999999.99	8	9
2	"47"	9	1	50000	7	"21"	9	1	1	2	"01"	3	3	500	7	1
2	"59"	2	2	60000	8	"26"	1	2	2	2	"03"	3	3	9999999.99	5	9
2	"48"	2	2	43000	6	"24"	1	2	2	2	"01"	2	2	400	1	1
2	"35"	2	1	43000	5	"16"	1	1	2	1	"01"	3	2	1000	5	1
1	"24"	2	2	36000	9	"10"	2	1	2	2	"99"	3	1	200	6	1
2	"47"	9	1	22000	6	"21"	1	2	2	2	"01"	2	2	1000	5	1
2	"12"	9	3	50000	9	"04"	1	1	2	2	"01"	3	1	2300	9	1
2	"46"	9	99	9500	6	"18"	2	1	1	2	"99"	3	1	300	9	2
2	"48"	2	5	200000	7	"24"	1	2	2	2	"01"	3	2	1800	7	1
2	"48"	2	99	30000	3	"24"	2	3	2	2	"02"	1	2	300	5	2
1	"12"	9	99	99999999999	8	"04"	1	2	2	2	"01"	3	1	9999999.99	9	1
2	"24"	2	1	11500	7	"10"	2	3	2	2	"06"	3	1	600	4	2
1	"10"	9	1	72500	8	"01"	1	2	2	2	"01"	3	2	800	7	1
2	"10"	9	2	70000	9	"01"	1	2	2	2	"01"	3	2	1900	9	1
1	"24"	2	1	32000	6	"07"	1	2	2	2	"06"	3	2	500	5	2
1	"47"	9	3	460000	8	"19"	1	1	2	2	"01"	3	2	900	7	1
1	"11"	9	3	135000	8	"02"	1	2	2	2	"01"	3	2	1100	8	1
2	"24"	2	1	48000	7	"09"	1	3	2	2	"06"	3	3	500	7	2
1	"13"	9	2	38000	9	"05"	9	2	2	2	"03"	3	2	900	7	1
2	"12"	9	2	105000	4	"03"	1	4	2	2	"04"	2	3	1500	4	2
1	"48"	2	2	87500	8	"24"	2	1	2	2	"02"	3	1	1300	9	1
2	"35"	2	4	130000	4	"13"	1	2	2	1	"03"	2	2	1800	4	1
2	"47"	9	99	99999999999	9	"19"	9	3	2	2	"99"	3	2	9999999.99	99	2
2	"11"	9	2	99999999999	6	"02"	2	3	2	2	"01"	1	3	9999999.99	99	1
1	"48"	2	2	140000	7	"24"	1	2	2	2	"01"	3	1	1000	9	1
1	"48"	2	2	160000	6	"24"	1	2	2	2	"02"	3	3	900	6	2
2	"46"	9	1	37000	4	"17"	2	2	2	2	"01"	1	2	900	2	2
1	"59"	2	1	26000	99	"25"	2	2	2	2	"06"	3	2	700	8	2
2	"24"	2	2	51000	8	"10"	2	2	2	2	"99"	3	2	400	8	1
2	"24"	2	1	62500	7	"09"	1	4	2	2	"06"	2	2	500	5	1
2	"10"	9	99	99999999999	4	"01"	2	3	2	2	"01"	2	3	9999999.99	4	1
1	"24"	2	2	110000	9	"10"	1	2	2	2	"01"	1	3	1800	6	1
2	"48"	2	1	23000	9	"24"	2	2	1	2	"06"	3	2	700	6	2
1	"47"	9	2	100000	4	"19"	2	1	2	2	"99"	3	1	900	4	1
2	"35"	2	1	12000	4	"16"	2	3	1	2	"06"	3	2	100	7	2
1	"59"	2	2	65000	8	"27"	2	2	2	2	"01"	3	1	500	8	1
2	"95"	9	4	220000	7	"28"	1	1	2	2	"99"	3	3	3600	5	1
1	"59"	2	3	120000	5	"26"	1	3	2	1	"01"	2	3	2600	5	1
2	"47"	9	1	67500	8	"19"	2	2	2	2	"05"	3	2	700	7	2
2	"47"	9	99	99999999999	7	"19"	1	1	2	2	"01"	3	1	9999999.99	6	1
1	"12"	9	1	23000	5	"04"	2	2	1	2	"06"	2	2	500	6	2
2	"24"	1	2	70000	9	"08"	1	4	9	1	"01"	2	2	1600	5	1
2	"13"	9	1	20000	9	"06"	2	4	2	2	"06"	3	2	700	9	2
2	"12"	9	2	62500	6	"04"	2	2	2	2	"01"	3	4	1400	6	1
1	"48"	2	2	67500	6	"24"	1	4	1	1	"01"	2	1	2000	5	1
2	"35"	1	2	135000	7	"12"	1	2	2	2	"03"	2	2	1600	7	2
2	"48"	9	2	99999999999	7	"24"	1	2	1	9	"06"	2	3	9999999.99	5	2
2	"35"	2	1	11000	4	"13"	2	3	1	2	"05"	2	2	100	5	2
2	"24"	2	1	35000	8	"10"	2	1	2	2	"06"	3	1	600	9	2
2	"48"	2	2	99999999999	1	"24"	9	2	1	2	"06"	1	4	9999999.99	1	2
1	"24"	2	1	7000	2	"07"	9	4	2	2	"06"	1	2	9999999.99	2	2
1	"48"	2	2	150000	5	"23"	1	4	2	2	"02"	2	1	500	7	1
2	"35"	2	1	22000	8	"15"	2	1	2	2	"05"	3	1	9999999.99	7	2
2	"24"	9	2	99999999999	9	"10"	9	2	2	2	"01"	3	1	9999999.99	9	1
2	"59"	9	99	99999999999	9	"26"	9	3	2	1	"06"	3	4	9999999.99	7	2
1	"47"	9	1	230000	6	"21"	1	1	2	1	"99"	2	2	1500	8	1
1	"47"	9	2	140000	7	"21"	2	2	2	2	"01"	3	2	800	7	1
2	"59"	2	1	38000	8	"26"	2	2	2	2	"06"	2	2	1000	4	2
2	"24"	2	2	47000	4	"10"	2	1	2	2	"01"	3	2	700	7	1
1	"13"	9	3	87500	7	"06"	1	4	2	1	"01"	2	2	1400	7	1
2	"48"	2	1	42000	8	"24"	1	2	2	2	"02"	3	2	700	8	2
2	"46"	9	2	99999999999	4	"17"	1	3	2	2	"02"	3	1	9999999.99	4	2
2	"48"	2	2	92500	6	"24"	2	1	2	2	"06"	2	2	900	8	1
2	"59"	1	99	230000	2	"25"	1	1	2	2	"01"	3	1	4000	4	1
1	"59"	2	2	240000	9	"27"	1	1	2	2	"04"	3	1	2600	9	1
2	"24"	9	99	99999999999	5	"07"	9	2	2	2	"99"	3	1	9999999.99	9	2
1	"59"	2	99	77500	4	"27"	9	2	1	2	"99"	3	3	900	4	2
2	"47"	9	3	99999999999	6	"21"	9	3	1	1	"99"	2	3	9999999.99	6	1
2	"46"	9	1	45000	7	"18"	1	2	2	1	"06"	2	2	500	2	2
1	"48"	9	99	99999999999	4	"24"	9	4	1	2	"06"	1	4	9999999.99	6	2
1	"48"	1	2	52500	5	"23"	1	2	1	2	"06"	3	3	1600	7	2
2	"13"	9	2	48000	7	"06"	1	4	1	9	"99"	1	4	9999999.99	4	9
1	"59"	2	2	155000	8	"25"	2	2	2	2	"06"	3	2	900	5	1
2	"24"	2	2	67500	7	"10"	9	3	2	2	"06"	3	1	9999999.99	7	2
1	"24"	2	4	105000	9	"08"	1	4	2	2	"06"	2	2	800	6	2
1	"59"	2	2	150000	7	"26"	2	2	2	2	"01"	3	2	500	6	1
1	"35"	2	2	90000	3	"16"	2	2	2	2	"01"	1	2	400	4	1
1	"13"	9	1	72500	5	"06"	1	3	2	2	"01"	2	2	1300	5	1
2	"95"	9	99	99999999999	7	"28"	1	4	2	2	"99"	2	2	9999999.99	7	1
1	"46"	9	2	155000	7	"17"	1	2	2	2	"01"	3	1	900	7	1
2	"10"	9	99	23000	9	"01"	9	1	2	2	"03"	3	1	9999999.99	9	2
1	"47"	9	99	99999999999	6	"20"	2	2	2	2	"99"	3	2	9999999.99	7	2
2	"47"	9	1	99999999999	6	"20"	9	1	2	2	"99"	3	1	9999999.99	8	1
1	"12"	9	1	75000	8	"04"	1	2	2	2	"01"	3	1	2400	8	1
1	"10"	9	99	125000	6	"01"	1	2	2	2	"99"	1	4	1100	3	2
1	"12"	9	2	120000	5	"04"	1	2	2	2	"01"	3	2	1000	5	1
2	"24"	2	99	99999999999	6	"09"	9	3	2	2	"99"	2	1	9999999.99	6	2
2	"35"	2	1	10500	8	"16"	2	2	2	2	"06"	3	2	100	8	2
1	"48"	9	2	165000	6	"24"	1	2	2	2	"01"	1	3	9999999.99	7	9
1	"13"	9	1	57500	7	"05"	1	2	2	2	"01"	3	1	1200	6	1
2	"46"	9	1	17500	7	"18"	2	2	2	2	"06"	3	2	600	7	2
1	"59"	1	4	125000	8	"25"	1	1	2	2	"01"	3	2	1900	8	1
2	"10"	9	3	62500	7	"01"	1	2	1	2	"04"	3	2	900	3	2
1	"59"	2	2	130000	4	"25"	1	2	1	2	"06"	2	4	1500	4	2
2	"35"	2	4	250000	4	"12"	1	2	1	1	"01"	2	4	3300	6	1
1	"59"	1	2	43000	7	"25"	2	1	2	2	"06"	3	1	9999999.99	8	2
2	"35"	1	2	99999999999	9	"11"	2	2	1	2	"99"	3	2	9999999.99	3	2
2	"48"	2	3	125000	9	"24"	1	3	2	2	"01"	3	1	300	7	1
1	"35"	2	2	80000	7	"16"	2	2	2	2	"01"	3	2	400	7	1
2	"47"	9	1	22000	7	"19"	2	2	2	2	"06"	1	1	400	9	2
2	"11"	9	99	42000	8	"02"	9	2	2	2	"99"	3	3	9999999.99	8	2
2	"11"	9	2	70000	7	"02"	1	2	2	2	"06"	3	3	1300	7	2
2	"12"	9	1	20000	7	"04"	2	1	1	2	"06"	3	1	600	9	2
1	"59"	2	3	120000	7	"27"	1	2	1	2	"99"	3	3	400	7	1
2	"10"	9	1	99999999999	9	"01"	2	1	2	2	"03"	3	1	9999999.99	9	2
2	"46"	9	4	99999999999	8	"18"	1	2	2	2	"01"	3	2	9999999.99	6	9
1	"35"	2	3	92500	4	"12"	2	2	1	2	"01"	2	2	1500	1	1
1	"59"	1	4	210000	7	"25"	1	1	2	2	"05"	3	1	2600	6	1
2	"10"	9	2	57500	4	"01"	2	4	2	1	"01"	2	2	800	5	1
1	"47"	9	1	30000	8	"21"	2	2	2	2	"99"	3	2	9999999.99	9	2
2	"12"	9	99	99999999999	7	"04"	1	2	1	2	"99"	3	2	9999999.99	7	1
